title,neighborhood,price,url,description
Piso  en  Centre-Barri Vell. Piso con 3 habitaciones con ascensor y calefacción,Girona - Centre-Barri Vell,270.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion_centre_barri_vell-girona-i4309002466450.htm?pag=2&f=&geo=c&from=list&lo=55,"PIS CANTONER DE 140M² I 3 HABITACIONS GRANS, AL COR DEL BARRI VELL DE GIRONA  Pis cantoner de 140m² i 3 habitacions do..."
Ático  Passeig dels països catalans. Piso en salt super precio!!! dispone de 4 habitaciones ( 2 doble,Salt - Veïnat,78.500 €,https://www.habitaclia.com/comprar-atico-piso_en_super_precio_dispone_de_4_habitaciones_2_doble_veinat-salt-i3052002655127.htm?pag=2&f=&geo=c&from=list&lo=55,"Piso en Salt SUPER PRECIO!!! dispone de 4 habitaciones ( 2 doble y 2 individuales), salón comedor, cocina, 1  baño con b..."
Piso  Carrer de ponent,Cassà de la Selva,98.000 €,https://www.habitaclia.com/comprar-piso-en-cassa_de_la_selva-i29169000000810.htm?pag=2&f=&geo=c&from=list&lo=55,"Pisos de obra nueva desde 71.000€ Pisos de 1,2 y 3 dormitorios con dos baños, cocina independiente y amplio salón comed..."
Chalet  Avinguda del bosc. Chalet situado en la urbanización mont-rei de llagostera.,Llagostera,280.000 €,https://www.habitaclia.com/comprar-chalet-situado_en_la_urbanizacion_mont_rei_de-llagostera-i12916004253451.htm?pag=2&f=&geo=c&from=list&lo=55,"Chalet unifamiliar situado sobre una parcela completamente llana de unos quinientos ochenta metros cuadrados, a escasos..."
"Casa  Baixada can pou. Casa en venta aislada en campllong, de 1.800m2 de parcela y la v",Campllong,299.000 €,https://www.habitaclia.com/comprar-casa-en_venta_aislada_en_de_1800m2_de_parcela_y_la_v-campllong-i3114003621253.htm?pag=2&f=&geo=c&from=list&lo=55,"Casa en venta aislada en Campllong, de 1.800m2 de parcela y la vivienda hace 300m2. Con piscina, zona de barbacoa, huert..."
Montilivi 1,Girona - Montilivi,385.000 €,https://www.habitaclia.com/obra_nueva-viviendas-en-girona/promo_5802003332558?geo=c&from=list&lo=56,"Edificio viviendas  en Girona, Edificio viviendas Montilivi Girona de 129 m 2  por 385.000 €..."
Casa  en  Montjuïc. Casa de lujo con las mejores vistas de girona situada en montjuï,Girona - Montjuïc,650.000 €,https://www.habitaclia.com/comprar-casa-de_lujo_con_las_mejores_vistas_de_situada_en_montjui_montjuic-girona-i24188000000942.htm?pag=3&f=&geo=c&from=list&lo=55,Casa de lujo con las mejores vistas de Girona situada en Montjuïc.  Disfruta de toda la tranquilidad que te ofrece este...
"Piso  en  Cassà de la Selva. Pis a cassà de la selva en perfectes condicions, llest per entra",Cassà de la Selva,125.000 €,https://www.habitaclia.com/comprar-piso-pis_a_en_perfectes_condicions_llest_per_entra-cassa_de_la_selva-i3114003621265.htm?pag=3&f=&geo=c&from=list&lo=55,"Pis de 81m2 construïts, situat al centre del poble amb piscina comunitària. Consta de dos habitacions dobles, un bany a..."
"Piso  en  Eixample Nord. Atico de 3 habitaciones y orientación sur, en pleno centro de gi",Girona - Eixample Nord,225.000 €,https://www.habitaclia.com/comprar-piso-atico_de_3_habitaciones_y_orientacion_sur_en_pleno_centro_de_gi_eixample_nord-girona-i4309002466473.htm?pag=3&f=&geo=c&from=list&lo=55,"Ático de 3 habitaciones y orientación Sur en pleno centro de Girona, a pocos metros de las estaciones de tren y autobuse..."
Casa  Lluis companys. Casa con 4 habitaciones con parking,Cassà de la Selva,285.000 €,https://www.habitaclia.com/comprar-casa-con_4_habitaciones_con_parking-cassa_de_la_selva-i2055003567182.htm?pag=3&f=&geo=c&from=list&lo=55,CASSÀ DE LA SELVA (Girona) - CASAS NUEVAS A ESTRENAR ADOSSADAS EN CONSTRUCCIÓN - DE SUP. 156 M2 CONSTRUIDOS - DISPONE DE...
Piso  Sector creu de palau,Girona - Eixample Sud-Migdia,348.000 €,https://www.habitaclia.com/comprar-piso-eixample_sud_migdia-girona-i4604004049192.htm?pag=3&f=&geo=c&from=list&lo=55,"GIRONA-QUIMICS. Impecable Pis Cantoner de 132m² amb bones vistes. Consta de rebedor, 3 habitacions dobles, 2 banys compl..."
Casa  en  Sant Gregori. Casa a san gregori,Sant Gregori,560.000 €,https://www.habitaclia.com/comprar-casa-a_san_gregori-sant_gregori-i9336004240947.htm?pag=3&f=&geo=c&from=list&lo=55,"Fantàstica oportunitat per viure al poble de Sant Gregori, un entorn privilegiat envoltat de natura i tranquil·litat, i..."
Piso  en  Palau. Piso con 4 habitaciones con ascensor y parking,Girona - Palau,197.900 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_parking_palau-girona-i21016000002369.htm?pag=3&f=&geo=c&from=list&lo=55,"Zona Montilivi - Palau. Piso en buen estado, en planta baja de un edificio con ascensor, de 106 m2 útiles distribuidos e..."
